country,fb.weights,website.weights,video.weights
Austria,0,0.7,5818
Belgium,0,2.94,15
Bosnia & Herzegovina,0,0.14,0
Bulgaria,0,1.75,0
Croatia,16.3,4.97,43
Czechia,0,1.19,13
Denmark,0,0.35,0
Estonia,0,0.28,13
Finland,0,0.14,0
France,19.3,9.38,1142
Germany,3.3,10.92,11514
Greece,0,0.07,11
Hungary,6.7,9.1,10
Italy,6.7,7.91,2193
Liechtenstein,0,0.07,0
Luxembourg,0,1.12,16
Macedonia,3.7,0.14,0
Netherlands,0,0.28,36
Poland,4.4,3.99,14
Portugal,0,0.14,0
Romania,17.8,2.59,11
Serbia,0,0.35,0
Slovakia,0,0.7,0
Slovenia,0,3.5,26
Spain,4.1,3.43,66
Sweden,0,0.07,11
Switzerland,3.3,32.21,7404
Ukraine,0,0.63,0
United Kingdom,0,0.91,72
