ID,Day,Month,Year,Target_country,Item_language,Recruit_code,Target_public,People_reached,Item_title,Item_type,Media_type
79,1,9,2022,France,French,DC_Mass,private forest owners,5,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
134,1,9,2023,Italy,Italian,DC_Mass,protected areas,7,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
135,1,9,2023,Italy,Italian,DC_Mass,forestry schools,6,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
136,1,9,2023,Italy,Italian,DC_Mass,protected areas,2,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
243,1,11,2023,Switzerland,German,DC_Mass,forestry offices,2,"general secretary of ""Konferenz für Wald,
Wildtiere und Landschaft KWL"" (former name KOK)",personalized email,e-mail
250,2,11,2023,Switzerland,German,DC_Mass,private forest owners,5,Bernerwaldeigentümerverband,mass e-mail,e-mail
251,3,11,2023,Switzerland,German,DC_Mass,foresters from all sectors,2,diverse Forstbetriebe,mass e-mail,e-mail
252,3,11,2023,Switzerland,German,DC_Mass,foresters from all sectors,10,diverse Forstbetriebe,mass e-mail,e-mail
139,4,9,2023,Italy,Italian,DC_Mass,protected areas,1,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
106,8,5,2023,Germany,German,DC_Mass,forestry offices,9,9 different state and regional forest offices,mass e-mail,e-mail
185,8,9,2023,Slovenia,Slovene,DC_Mass,foresters from all sectors,50,Flyer in Slovene language,brochure,e-mail
142,8,9,2023,Italy,Italian,DC_Mass,farmers,10,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
143,8,9,2023,Italy,Italian,DC_Mass,protected areas,1,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
144,8,9,2023,Italy,Italian,DC_Mass,scientists,1,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
184,10,6,2023,Slovenia,Slovene,DC_Mass,foresters from all sectors,150,Vabilo k sodelovanju: projekt MyGardenOfTrees v Sloveniji,mass e-mail,e-mail
